lat,lon
49.28548,-123.11959
49.28453,-123.12116
49.28372,-123.12018
49.28316,-123.11906
49.28247,-123.11816
49.28182,-123.11719
49.28147,-123.11666
49.28004,-123.11775
49.28071,-123.11898
49.27967,-123.1205
49.27903,-123.11947
49.27854,-123.11861
49.27973,-123.11563
49.28058,-123.11518
49.28165,-123.11344
49.28236,-123.11237
49.28271,-123.11187
49.2833,-123.11091
49.28239,-123.10971
49.28356,-123.10926
49.28424,-123.10889
49.28388,-123.10645
49.28288,-123.10692
49.28188,-123.10726
49.28067,-123.10713
49.28063,-123.10447
49.28156,-123.10445
49.28244,-123.10425
49.2829,-123.10413
49.28325,-123.10419
49.28424,-123.10028
49.28321,-123.10028
49.28208,-123.09822
49.28226,-123.09751
49.28311,-123.09749
49.28398,-123.09787
49.28421,-123.09773
